name;abr 
Camarines Norte Agta;phi
Cameroon Mambila;nic-mmb
Cameroon Pidgin;crp
Campalagian;poz-ssw
Camsá;qfa-iso
Camtho;crp
Candoshi-Shapra;qfa-iso
Canela;sai-nje
Canichana;qfa-iso
Cantonese;zhx-yue
Caolan;tai-cho
Capanahua;sai-pan
Capiznon;phi
Cappadocian Greek;grk
Caquinte;awd
Car Nicobarese;aav-nic
Cara;nic-beo
Carabayo;sai-tyu
Caramanta;sai-chc
Carapana;sai-tuc
Carian;ine-luw
Caribbean Hindustani;inc
Caribbean Javanese;poz
Carijona;sai-tar
Carolina Algonquian;alg-eas
Carolinian;poz-mic
Carpathian Romani;inc-rom
Carpathian Rusyn;zle
Carrier;ath-nor
Cashibo-Cacataibo;sai-pan
Cashinahua;sai-pan
Casiguran Dumagat Agta;phi
Casuarina Coast Asmat;ngf
Catalan Sign Language;sgn
Catalan;ca
Catawba;nai-cat
Cauca;sai-chc
Cavineña;sai-tac
Cayubaba;qfa-iso
Cayuga;iro-nor
Cebuano;phi
Celtiberian;cel-his
Cen;nic-plc
Centúúm;qfa-iso
Central Asmat;ngf
Central Atlas Tamazight;ber
Central Awyu;ngf
Central Bai;sit-bai
Central Bontoc;phi
Central Cagayan Agta;phi
Central Dusun;poz-san
Central Grebo;kro-grb
Central Huasteca Nahuatl;azc-hua
Central Kurdish;ku-Arab
Central Mahuatlán Zapoteco;omq-zap
Central Malay;poz-mly
Central Masela;poz-tim
Central Mazahua;oto
Central Melanau;poz-swa
Central Min;zhx-inm
Central Mnong;mkh-ban
Central Nahuatl;azc-nah
Central Nicobarese;aav-nic
Central Ojibwa;alg
Central Palawano;phi
Central Pame;omq
Central Pomo;nai-pom
Central Puebla Nahuatl;azc-nah
Central Sama;poz-sbj
Central Siberian Yupik;ypk
Central Sierra Miwok;nai-you
Central Subanen;phi
Central Tagbanwa;phi
Central Tarahumara;azc-trc
Central Tunebo;cba
Cerma;nic-gur
Ch'orti';myn
Chácobo;sai-pan
Chaap Wuurong;aus-pam
Chachi;sai-bar
Chadian Arabic;sem-arb
Chadian Sign Language;sgn
Chagatai;trk-kar
Chaima;sai-ven
Chak;sit-luu
Chakali;nic-gnw
Chakma;inc-bas
Chala;nic-gne
Chaldean Neo-Aramaic;sem-are
Chali;sit-ebo
Chamacoco;sai-zam
Chamalal;cau-and
Chamba Daka;nic-dak
Chamba Leko;alv-lek
Chambeali;him
Chambri;paa-lsp
Chamicuro;awd
Chamling;sit-kic
Chamorro;ch
Chané;awd
Chang;sit-kch
Changriwa;paa-yua
Changthang;sit-lab
Chantyal;sit-tam
Chara;omv
Chaura;aav-nic
Chavacano;crp
Chayahuita;sai-cah
Chayuco Mixtec;omq-mxt
Chazumba Mixtec;omq-mxt
Chechen;ce
Cheke Holo;poz-ocw
Chemakum;chi
Chenapian;paa-spk
Chenchu;dra-tel
Chenoua;ber
Chepang;sit-gma
Cherepon;alv-gng
Cherokee;iro
Chetco-Tolowa;ath-pco
Chewong;mkh-asl
Cheyenne;alg
Chhattisgarhi;inc-hie
Chhintange;sit-kie
Chhulung;sit-kie
Chiapanec;omq
Chibcha;cba
Chicahuaxtla Triqui;omq-tri
Chichewa;ny
Chichicapan Zapotec;omq-zap
Chichimeca-Jonaz;omq-otp
Chichonyi-Chidzihana-Chikauma;bnt-mij
Chickasaw;nai-mus
Chicomuceltec;myn
Chiduruma;bnt-mij
Chigmecatitlán Mixtec;omq-mxt
Chilcotin;ath-nor
Chilean Sign Language;sgn
Chilisso;inc-koh
Chiltepec Chinantec;omq-chi
