ǃKung;khi-kun
Yahadian;ner
Yahang;rhp
Yahuna;ynu
Yaka (Central African Republic);axk
Yakaikeke;ykk
Yakoma;yky
Yaleba;ylb
Yalunka;yal
Yameo;yme
Yamphe;yma
Yana;ynn
Yanda Dom Dogon;dym
Yanda;yda
Yandjibara;xyb
Yang Zhuang;zyg
Yangbye;ybd
Yangho;ynh
Yangman;jng
Yangulam;ynl
Yanomámi;wca
Yansi;yns
Yaouré;yre
Yarawata;yrw
Yardliyawarra;yxi
Yardliyawarra;yxl
Yareba;yrb
Yarí;yri
Yarluyandi;yry
Yarsun;yrs
Yassic;ysc
Yatay;yty
Yauma;yax
Yaweyuha;yby
Yawiyo;ybx
Yay;pcc
Yaygir;xya
Yazgulyam;yah
Yecuatla Totonac;tlc
Yei;jei
Yekora;ykr
Yela;yel
Yele;yle
Yelmek;jel
Yelogu;ylg
Yemsa;jnj
Yeni;yei
Yeniche;yec
Yerakai;yra
Yerong;yrn
Yerukula;yeu
Yetfa;yet
Yeyi;yey
Yiddish Sign Language;yds
Yimas;yee
Yinbaw Karen;kvu
Yinchia;yin
Yiningayi;ygi
Yintale Karen;kvy
Yirandali;ljw
Yitha Yitha;xth
Yiwom;gek
Yoidik;ydk
Yoke;yki
Yokuts;yok
Yom;pil
Yongbei Zhuang;zyb
Yongkom;yon
Yongnan Zhuang;zyn
Yos;yos
Youjiang Zhuang;zyj
Youle Jinuo;jiu
Yoy;yoy
Yuaga;nua
Yuchi;yuc
Yugambal;yub
Yugh;yuu
Yugoslavian Sign Language;ysl
Yugul;ygu
Yukuben;ybl
Yulu;yul
Yuru;ljx
Yuwana;yau
Zambian Sign Language;zsl
Zamboanga Chavacano;cbk-zam
Zarphatic;zrp
Zayein Karen;kxk
Zeme Naga;nzm
Zemgalian;xzm
Zhaba;zhb
Zimbabwe Sign Language;zib
Zire;sih
Zoroastrian Dari;gbz
Zulu;zu
Zumbun;jmb
