Iaai;iai
Kaiku;kkq
Kir-Balar;kkr
Kirfi;kks
Kangean;kkv
Guugu Yimidhirr;kky
Kaska;kkz
Klamath-Modoc;kla
Kiliwa;klb
Gamilaraay;kld
Tagakaulu Kalagan;klg
Weliki;klh
Khalaj;klj
Kono (Nigeria);klk
Kolom;klm
Kalenjin;kln
Khaling;klr
Kalasha;kls
Nukna;klt
Maskelynes;klv
Lindu;klw
Koluwawa;klx
Kimbundu;kmb
Southern Kam;kmc
Bakole;kme
Kare (New Guinea);kmf
Kâte;kmg
Kami;kmi
Kumarbhag Paharia;kmj
Limos Kalinga;kmk
Tanudan Kalinga;kml
Awtuw;kmn
Northern Kurdish;kmr
Kamasau;kms
Karipúna Creole French;kmv
Kumu;kmw
Khorasani Turkish;kmz
Kanakuru;kna
Lubuagan Kalinga;knb
Konda;knd
Kankanaey;kne
Kanufi;kni
Akatek;knj
Kuranko;knk
Keninjal;knl
Kanamari;knm
Kwanja;knp
Katukina;knt
Kono (Guinea);knu
Kendayan;knx
Konomala;koa
Kpati;koc
Kodi;kod
Kubi;kof
Cogui;kog
Koyo;koh
Komi-Permyak;koi
Konkani;kok
Kota (Gabon);koq
Kosraean;kos
Lagwan;kot
Koyukon;koy
Curripaco;kpc
Kpelle;kpe
Kapingamarangi;kpg
Kofei;kpi
Karajá;kpj
Kpan;kpk
Kpala;kpl
Koho;kpm
Kepkiriwát;kpn
Ikposo;kpo
Karata;kpt
Komi-Zyrian;kpv
Kobon;kpw
Koryak;kpy
Kalagan;kqe
Kakabai;kqf
Kaonde;kqn
Kimaragang;kqr
Kandas;kqw
Koorete;kqy
Korana;kqz
Kumhali;kra
Karkin;krb
Karachay-Balkar;krc
Koro (Vanuatu);krf
Krio;kri
Kinaray-a;krj
Kerek;krk
Karelian;krl
Korop;krp
Kurukh;kru
Kavet;krv
Kryts;kry
Shambala;ksb
Tolai;ksd
Kuni;kse
Bafia;ksf
Kusaghe;ksg
Krisa;ksi
Kansa;ksk
Kumalu;ksl
Borong;ksr
S'gaw Karen;ksw
Kedang;ksx
Kambaata;ktb
Kalkatungu;ktg
North Muyu;kti
Kaniet;ktk
Koroshi;ktl
Kurti;ktm
Karitiâna;ktn
South Muyu;kts
Kituba;ktu
Eastern Katu;ktv
Kato;ktw
Kaxararí;ktx
Kango;kty
Juǀ'hoan;ktz
Auhelawa;kud
Kuman;kue
Western Katu;kuf
Kuikúro;kui
Kuria;kuj
Kumyk;kum
Karipuna;kuq
Kusaal;kus
Kutenai;kut
Upper Kuskokwim;kuu
Kur;kuv
Bagvalal;kva
Kove;kvc
Kalabakan;kve
Komodo;kvh
Kwang;kvi
Kendem;kvm
Dobel;kvo
Geba Karen;kvq
Kerinci;kvr
Dâw;kwa
Kwaio;kwd
Kwara'ae;kwf
Kowiai;kwh
Awa-Cuaiquer;kwi
Kwak'wala;kwk
Kofyar;kwl
Kwangali;kwn
Kwak;kwq
Sara Kaba Náà;kwv
Kwinti;kww
Kwadi;kwz
Kairiru;kxa
Krobu;kxb
Khonso;kxc
Brunei Malay;kxd
Kakihum;kxe
Manumanaw Karen;kxf
Keningau Murut;kxi
Nepali Kurux;kxl
Northern Khmer;kxm
Kanowit;kxn
Manus Koro;kxr
Kangjia;kxs
Kui (India);kxu
Kuvi;kxv
Kwaya;kya
Butbut Kalinga;kyb
Karok;kyh
Kiput;kyi
Karao;kyj
Kuruáya;kyr
Baram Kayan;kys
Western Kayah;kyu
Kayort;kyv
Kudmali;kyw
Kayabí;kyz
Bondoukou Kulango;kzc
Kadai;kzd
Kosena;kze
Da'a Kaili;kzf
Kikai;kzg
Dongolawi;kzh
Kelabit;kzi
Coastal Kadazan;kzj
Kayeli;kzl
Kais;kzm
Kokola;kzn
Kaidipang;kzp
Karang;kzr
Sugut Dusun;kzs
Tambunan Dusun;kzt
Komyandaret;kzv
Kariri;kzw
Kamarian;kzx
Kango-Sua;kzy
Kalabra;kzz
Lacandon;lac
Ladino;lad
Lahnda;lah
Lango (Uganda);laj
Lamba;lam
Laru;lan
Kabba-Laka;lap
Larteh;lar
Gur Lama;las
Lauje;law
Tiwa;lax
Lama Bai;lay
Aribwatsa;laz
Label;lbb
Lak;lbe
Ladakhi;lbj
Central Bontoc;lbk
Libon Bikol;lbl
Laven;lbo
Wampar;lbq
Labu;lbu
Lavatbura-Lamusong;lbv
Tolaki;lbw
Lawangan;lbx
Lardil;lbz
Legenyem;lcc
Lola;lcd
Lisela;lcl
Tungag;lcm
Western Lawa;lcp
Luhu;lcq
Kla;lda
Idun;ldb
Lenyima;ldg
Láadan;ldn
Lufu;ldq
Lendu;led
Leipon;lek
Nomaande;lem
Honduran Lenca;len
Mengisa;leo
Lepcha;lep
Lenkau;ler
Lesing-Gelimi;let
Kara (New Guinea);leu
Ledo Kaili;lew
Luang;lex
Lezgi;lez
Lingua Franca Nova;lfn
Lungga;lga
Laghu;lgb
Lengilu;lgi
Neverver;lgk
Logba;lgq
Lengo;lgr
Pahi;lgt
Lahanan;lhn
Mlahsö;lhs
Lo-Toga;lht
Lahu;lhu
Likum;lib
Hlai;lic
Nyindrou;lid
Limbu;lif
Lihir;lih
Ligurian;lij
Lillooet;lil
Liki;lio
Liberian Kreyol;lir
Lisu;lis
Livonian;liv
Banda-Bambari;liy
Golpa;lja
Li'o;ljl
Lampung Api;ljp
Lakalei;lka
Kabras;lkb
Lakondê;lkd
Laki;lki
Remun;lkj
Lakon;lkn
Kisa;lks
Lakota;lkt
Lolo;llb
Ladin;lld
Lele (Papua New Guinea);lle
Hermit;llf
Lelak;llk
North Efate;llp
Lau;llu
Lauan;llx
Merei;lmb
Lamogai;lmg
Lambichhong;lmh
Raga;lml
Lambadi;lmn
Lombard;lmo
Limbum;lmp
Lamenu;lmu
Lomaiviti;lmv
Lake Miwok;lmw
Laboya;lmy
Lun Bawang;lnd
Linngithigh;lnj
Langam;lnm
Lorediakarkar;lnn
Longuda;lnu
Lanima;lnw
Loloda;loa
Inonhan;loc
Berawan;lod
Lou;loj
Loko;lok
Mongo;lol
Loma;lom
Malawi Lomwe;lon
Loniu;los
Louisiana Creole;lou
Loun;lox
Lozi;loz
Lelepa;lpa
Lipo;lpo
Northern Luri;lrc
Laurentian;lre
Larestani;lrl
Marama;lrm
Larantuka Malay;lrt
Larëvat;lrv
Lemerig;lrz
Lishana Deni;lsd
Lashi;lsi
Aruop;lsr
Lasi;lss
Middle Chinese;ltc
Latgalian;ltg
Leti;lti
Latundê;ltn
Olutsotso;lto
Luba-Kasai;lua
Aringa;luc
Ludian;lud
Luvale;lue
Leizhou Min;luh
Luiseño;lui
Lunanakha;luk
Lunda;lun
Luo;luo
Lucumí;luq
Mizo;lus
Lushootseed;lut
Lumba-Yakkha;luu
Luwati;luv
Luhya;luy
Southern Luri;luz
Lawi;lvi
Lavukaleve;lvk
Lwel;lvl
Eastern Lawa;lwl
Luwo;lwo
Lewo;lww
Layakha;lya
Literary Chinese;lzh
Litzlitz;lzl
Laz;lzz

