'Are'are;alu
Chadian Sign Language;cds
Chagatai;chg
Chaima;ciy
Chak;ckh
Chakali;cli
Chakma;ccp
Chala;cll
Chaldean Neo-Aramaic;cld
Chali;tgf
Chamacoco;ceg
Chamalal;cji
Chamba Daka;ccg
Chamba Leko;ndi
Chambeali;cdh
Chambri;can
Chamicuro;ccc
Chamling;rab
Chamorro;ch
Chané;caj
Chang;nbc
Changriwa;cga
Changthang;cna
Chantyal;chx
Chara;cra
Chaura;crv
Chavacano;cbk
Chayahuita;cbt
Chayuco Mixtec;mih
Chazumba Mixtec;xtb
Chechen;ce
Cheke Holo;mrn
Chemakum;xch
Chenapian;cjn
Chenchu;cde
Chenoua;cnu
Chepang;cdm
Cherepon;cpn
Cherokee;chr
Chetco-Tolowa;ctc
Chewong;cwg
Cheyenne;chy
Chhattisgarhi;hne
Chhintange;ctn
Chhulung;cur
Chiapanec;cip
Chibcha;chb
Chicahuaxtla Triqui;trs
Chichewa;ny
Chichicapan Zapotec;zpv
Chichimeca-Jonaz;pei
Chichonyi-Chidzihana-Chikauma;coh
Chickasaw;cic
Chicomuceltec;cob
Chiduruma;dug
Chigmecatitlán Mixtec;mii
Chilcotin;clc
Chilean Sign Language;csg
Chilisso;clh
Chiltepec Chinantec;csa
Chimalapa Zoque;zoh
Chimariko;cid
Chimila;cbg
Chinali;cih
Chinese Pidgin English;cpi
Chinook Jargon;chn
Chinook;chh
Chipaya;cap
Chipewyan;chp
Chiquihuitlán Mazatec;maq
Chiquitano;cax
Chiricahua;apm
Chiripá;nhd
Chiru;cdf
Chitimacha;ctm
Chittagonian;ctg
Chiwere;iow
Choapan Zapotec;zpc
Chocangaca;cgk
Chochotec;coz
Choctaw;cho
Chodri;cdi
Chokwe;cjk
Chol;ctu
Chong;cog
Chopi;cce
Chothe Naga;nct
Chrau;crw
Chru;cje
Chuabo;chw
Chuanqiandian Cluster Miao;cqd
Chuave;cjv
Chug;cvg
Chuj;cac
Chuka;cuh
Chukchi;ckt
Chulym;clw
Chumburung;ncu
Churahi;cdj
Chut;scb
Chuukese;chk
Chuvan;xcv
Chuvash;cv
Ci Gbe;cib
Cia-Cia;cia
Cibak;ckl
Cicipu;awc
Cimbrian;cim
Cinamiguin Manobo;mkx
Cinda-Regi-Tiyal;cdr
Cineni;cie
Cinta Larga;cin
Cishingini;asg
Classical Gaelic;ghc
Classical Mandaic;myz
Classical Mongolian;cmg
Classical Nahuatl;nci
Classical Newar;nwc
Classical Quechua;qwc
Classical Syriac;syc
Classical Tibetan;xct
Coast Miwok;csi
Coastal Kadazan;kzj
Coastal Konjo;kjc
Coatecas Altas Zapotec;zca
Coatepec Nahuatl;naz
Coatlán Mixe;mco
Coatlán Zapotec;zps
Coatzospan Mixtec;miz
Cocama;cod
Cochimi;coj
Cocopa;coc
Cocos Islands Malay;coa
Coeur d'Alene;crd
Cofán;con
Cogui;kog
Colombian Sign Language;csn
Colonia Tovar German;gct
Columbia-Wenatchi;col
Comaltepec Chinantec;cco
Comanche;com
Como Karim;cfg
Comox;coo
Coos;csz
Copainalá Zoque;zoc
Copala Triqui;trc
Coptic;cop
Coquille;coq
Cora;crn
Cori;cry
Cornish;kw
Corsican;co
Cosoleacaque Nahuatl;nhk
Costa Rican Sign Language;csr
Cotabato Manobo;mta
Cowlitz;cow
Coyaima;coy
Coyotepec Popoloca;pbf
Coyutla Totonac;toc
Cree;cr
Creek;mus
Crimean Tatar;crh
Cross River Mbembe;mfn
Crow;cro
Cruzeño;crz
Cốông;cnc
Cua;cua
Cuban Sign Language;csf
Cubeo;cub
Cuiba;cui
Cuitlatec;cuy
Culina;cul
Cumanagoto;cuo
Cun;cuq
Cung;cug
Cupeño;cup
Curonian;xcu
Curripaco;kpc
Cutchi-Swahili;ccl
Cuvok;cuv
Cuyamecalco Mixtec;xtu
Cuyunon;cyo
Cwi Bwamu;bwy
Cypriot Arabic;acy
Czech Sign Language;cse
Czech;cs
Dâw;kwa
Da'a Kaili;kzf
Daai Chin;dao
Daakaka;bpa
Daasanach;dsh
Daba;dbq
Dabe;dbe
Dacian;xdc
Dadi Dadi;dda
Dadibi;mps
Dadiya;dbd
Daga;dgz
Dagaari Dioula;dgd
Dagba;dgk
Dagbani;dag
Dagik;dec
Dagoman;dgn
Dahalik;dlk
Dahalo;dal
Daho-Doo;das
Dai;dij
Dair;drb
Dairi Batak;btd
Dakota;dak
Dakpa;dka
Dalmatian;dlm
Daloa Bété;bev
Dama (Nigeria);dmm
Damakawa;dam
Dambi;dac
Dampelas;dms
Dan;dnj
Danaru;dnr
Dandami Maria;daq
Dangaléat;daa
Danish Sign Language;dsl
Danish;da
Dano;aso
Danu;dnv
Danuwar;dhw
Dao;daz
Daonda;dnd
Dar Daju Daju;djc
Dar Fur Daju;daj
Dar Sila Daju;dau
Darai;dry
Dargwa;dar
Darkinjung;xda
Darlong;dln
Daro-Matu Melanau;dro
Dass;dot
Datooga;tcc
Daungwurrung;dgw
Daur;dta
Davawenyo;daw
Dawawa;dww
Dawera-Daweloor;ddw
Dawro;dwr
Day;dai
Dayi;dax
Dazaga;dzg
Deccani;dcc
Dedua;ded
Defaka;afn
Defi Gbe;gbh
Deg Xinag;ing
Deg;mzw
Degema;deg
Degenan;dge
Dehwari;deh
Delo;ntr
Dem;dem
Dema;dmx
Demisa;dei
Demta;dmy
Dení;dny
Dena'ina;tfn
Dendi;ddn
Dengese;dez
Dengka;dnk
Deno;dbb
Denya;anv
Deori;der
Desano;des
Desiya;dso
Dewoin;dee
Dghwede;dgh
Dhaiso;dhs
Dhalandji;dhl
Dhangu;dhg
Dharug;xdk
Dhatki;mki
Dhimal;dhi
Dhivehi;dv
Dhodia;dho
Dhofari Arabic;adf
Dhudhuroa;ddr
Dhundhari;dhd
Dhungaloo;dhx
Dhurga;dhu
Dhuwal;dwu
Dhuwaya;dwy
Dia;dia
Dibabawon Manobo;mbd
Dibiyaso;dby
Dibo;dio
Dicamay Agta;duy
Didinga;did
Dieri;dif
Digo;dig
Dii;dur
Dijim-Bwilim;cfa
Dilling;dil
Dimasa;dis
Dimbong;dii
Dineor;mrx
Ding;diz
Dinka;din
Diodio;ddi
Dirasha;gdl
Diri;dwa
Dirim;dir
Disa;dsi
Ditidaht;dtd
Diuxi-Tilantongo Mixtec;xtd
Dixon Reef;dix
Dizin;mdx
Djadjawurrung;dja
Djambarrpuyngu;djr
Djangun;djf
Djauan;djn
Djawi;djw
Djimini;dyi
Djinang;dji
Djinba;djb
Djiwarli;djl
Dobel;kvo
Dobu;dob
Doe;doe
Doga;dgg
Doghoro;dgx
Dogosé;dos
Dogri;doi
Dogrib;dgr
